frame_id, x, y, z
0, 0.057859, -0.043332, 2.161983
1, -0.123130, -0.085179, 4.021896
2, -0.527670, -0.131620, 6.127820
3, -1.052874, -0.187051, 8.554975
4, -1.746028, -0.301708, 11.261490
5, -2.620930, -0.442032, 14.216920
6, -3.703617, -0.696851, 17.441540
7, -5.002325, -1.091050, 20.924250
8, -6.553189, -1.526495, 24.629810
9, -8.362269, -1.915761, 28.469120
10, -10.444260, -2.258264, 32.492060
11, -12.792510, -2.570879, 36.722040
12, -15.334650, -2.909137, 41.265230
13, -18.046730, -3.235637, 45.856950
14, -21.056960, -3.517140, 50.296820
15, -24.201310, -3.822517, 54.596890
16, -27.482530, -4.070618, 58.864650
17, -30.957820, -4.369134, 63.017770
18, -34.673700, -4.690830, 67.094460
19, -38.692550, -5.057858, 71.052560
20, -42.914510, -5.443967, 74.957930
21, -47.334040, -5.824835, 78.824820
22, -51.940820, -6.240477, 82.646680
23, -56.844580, -6.660712, 86.284870
24, -62.021880, -7.102980, 89.683830
25, -67.486660, -7.555186, 92.809380
26, -73.130570, -8.011910, 95.728280
27, -78.807160, -8.486978, 98.475510
28, -84.370760, -8.914608, 101.062700
29, -89.740220, -9.305889, 103.428200
30, -94.882370, -9.680288, 105.733400
31, -99.805830, -10.026750, 108.239800
32, -104.475000, -10.325520, 111.064600
33, -108.815600, -10.599680, 114.087300
34, -112.784900, -10.884400, 117.225600
35, -116.434300, -11.155590, 120.413600
36, -119.701600, -11.367770, 123.577500
37, -122.564000, -11.543040, 126.793900
38, -125.088200, -11.702930, 130.154800
39, -127.325900, -11.864830, 133.694200
40, -129.390300, -11.964830, 137.438800
41, -131.442600, -12.012400, 141.462300
42, -133.444200, -12.023210, 145.831800
43, -135.286000, -12.061000, 150.585100
44, -136.682500, -12.099080, 155.790000
45, -137.536000, -12.065240, 161.424900
46, -137.811800, -11.985160, 167.451700
47, -137.487600, -11.937090, 173.739700
48, -136.522100, -12.011440, 180.227700
49, -134.921000, -12.215230, 186.887900
50, -132.704100, -12.473530, 193.619500
51, -129.755600, -12.875730, 200.305700
52, -125.879600, -13.413390, 206.683600
53, -121.111700, -14.098660, 212.553600
54, -115.656700, -14.889740, 217.895300
55, -109.741800, -15.732510, 222.621900
56, -103.583000, -16.554120, 226.501600
57, -97.287550, -17.310590, 229.453600
58, -91.040120, -18.060440, 231.572900
59, -84.923550, -18.887750, 232.993400
60, -78.952980, -19.687030, 233.773900
61, -73.221710, -20.438370, 234.047000
62, -67.810830, -21.167690, 234.096700
63, -62.612500, -21.818010, 234.072900
64, -57.589970, -22.464460, 234.129900
65, -52.669480, -23.103900, 234.320800
66, -47.828730, -23.718230, 234.685100
67, -43.056600, -24.335750, 235.221400
68, -38.360620, -24.922220, 235.910900
69, -33.744490, -25.490040, 236.786000
70, -29.030010, -26.074140, 237.739000
71, -24.247730, -26.695100, 238.791800
72, -19.473290, -27.303420, 239.998900
73, -14.787740, -27.902140, 241.484300
74, -10.202160, -28.505210, 243.217300
75, -5.736688, -29.083370, 245.139000
76, -1.445171, -29.618460, 247.223500
77, 2.670980, -30.094990, 249.480700
78, 6.657400, -30.535400, 251.909800
79, 10.583690, -30.974950, 254.573100
80, 14.548360, -31.391860, 257.244200
81, 18.557250, -31.745410, 259.943000
82, 22.647720, -32.066670, 262.666800
83, 26.718340, -32.345320, 265.403800
84, 30.721880, -32.571640, 268.202300
85, 34.606160, -32.743160, 271.143700
86, 38.360670, -32.869610, 274.326400
87, 42.011040, -32.940480, 277.813900
88, 45.513250, -32.931650, 281.622300
89, 48.800870, -32.867050, 285.763300
90, 51.903330, -32.781350, 290.179800
91, 54.875230, -32.651640, 294.809700
92, 57.844000, -32.558460, 299.554400
93, 60.855750, -32.488200, 304.377200
94, 63.761150, -32.428620, 309.296200
95, 66.336190, -32.349450, 314.343000
96, 68.518950, -32.242560, 319.496900
97, 70.444270, -32.123810, 324.701500
98, 72.239840, -32.024170, 329.914500
99, 73.846780, -31.928280, 335.152200
100, 75.339380, -31.844960, 340.280400
101, 76.940570, -31.775550, 345.020000
102, 78.516850, -31.706910, 349.490400
103, 79.788430, -31.625130, 353.970700
104, 80.487290, -31.541800, 358.513600
105, 80.503770, -31.468350, 363.107900
106, 79.948290, -31.396880, 367.764600
107, 79.305680, -31.324380, 372.585100
108, 78.730660, -31.303370, 377.660600
109, 78.109220, -31.295180, 383.024900
110, 77.453750, -31.335990, 388.562200
111, 76.588790, -31.408670, 394.104200
112, 75.453110, -31.492320, 399.563900
113, 74.156780, -31.617780, 404.901500
114, 72.695840, -31.749000, 410.199700
115, 71.142260, -31.857640, 415.518400
116, 69.555400, -31.930430, 420.878900
117, 67.907250, -31.986730, 426.231600
118, 66.313240, -32.003410, 431.552600
119, 64.795300, -32.006340, 436.814500
120, 63.347470, -31.962900, 441.977300
121, 61.956690, -31.912150, 447.015700
122, 60.588520, -31.839390, 451.905600
123, 59.227880, -31.715460, 456.661300
124, 57.867160, -31.554860, 461.298900
125, 56.513120, -31.350510, 465.838000
126, 55.190150, -31.148250, 470.219300
127, 53.957650, -30.951390, 474.335100
128, 52.805530, -30.770580, 478.200300
129, 51.761250, -30.604190, 482.029100
130, 51.013880, -30.387390, 485.899300
131, 50.782730, -30.140690, 489.814700
132, 51.076910, -29.888990, 493.767600
133, 51.889050, -29.622010, 497.738400
134, 53.115000, -29.348700, 501.727200
135, 54.754660, -29.083240, 505.670800
136, 56.765020, -28.819380, 509.509300
137, 59.236430, -28.568220, 513.136400
138, 62.147960, -28.313250, 516.348900
139, 65.397890, -28.058970, 519.217300
140, 68.964670, -27.762600, 521.822100
141, 72.881950, -27.431680, 524.053700
142, 77.153850, -27.090500, 525.815200
143, 81.759880, -26.763210, 527.051900
144, 86.634400, -26.409340, 527.669100
145, 91.710620, -26.051690, 527.693700
146, 96.892310, -25.691470, 527.083900
147, 102.111400, -25.349050, 525.861900
148, 107.305700, -25.047220, 524.079000
149, 112.433500, -24.725960, 521.780000
150, 117.618800, -24.381870, 519.261800
151, 122.982300, -23.980830, 516.640600
152, 128.358400, -23.587900, 513.969400
153, 133.900300, -23.141830, 511.171700
154, 139.600200, -22.695580, 508.311400
155, 145.478000, -22.256410, 505.360400
156, 151.513400, -21.797620, 502.322400
157, 157.696200, -21.317840, 499.214100
158, 163.963900, -20.834780, 496.056000
159, 170.240700, -20.357610, 492.866000
160, 176.518000, -19.890300, 489.688800
161, 182.791000, -19.400450, 486.582100
162, 189.022900, -18.935130, 483.529100
163, 195.180200, -18.481660, 480.469600
164, 201.203900, -18.021200, 477.375500
165, 207.054700, -17.588720, 474.263400
166, 212.515400, -17.176840, 471.274700
167, 217.532000, -16.804300, 468.525800
168, 222.266700, -16.451810, 466.157900
169, 226.991800, -16.121710, 464.316200
170, 231.845500, -15.768340, 462.946600
171, 236.781900, -15.373740, 462.127000
172, 241.848400, -15.008720, 461.905600
173, 247.045500, -14.634990, 462.466200
174, 252.218100, -14.242140, 463.814900
175, 257.287900, -13.832810, 465.915200
176, 262.167000, -13.365760, 468.727800
177, 266.770700, -12.824450, 472.095400
178, 271.204400, -12.264370, 475.840000
179, 275.532800, -11.761700, 479.794000
180, 279.747900, -11.236880, 483.771100
181, 283.809500, -10.754960, 487.633100
182, 287.709800, -10.304070, 491.074900
183, 291.497200, -9.957206, 493.947800
184, 295.050000, -9.747383, 496.208200
185, 298.555900, -9.648325, 497.840100
186, 302.157800, -9.612934, 498.680000
187, 305.825500, -9.581026, 498.755800
188, 309.375400, -9.541535, 498.058700
189, 312.859600, -9.469890, 496.906500
190, 316.287200, -9.389864, 495.404000
191, 319.469300, -9.344713, 493.419000
192, 322.159700, -9.290593, 490.842900
193, 324.128000, -9.214534, 487.907400
194, 325.644800, -9.204579, 484.800500
195, 326.712800, -9.156698, 481.490500
196, 327.199900, -9.098587, 477.981300
197, 327.083200, -8.998575, 474.330600
198, 326.456000, -8.877903, 470.545300
199, 325.485000, -8.806233, 466.584700
200, 324.270900, -8.692468, 462.430100
201, 322.972500, -8.552894, 458.042200
202, 321.582200, -8.396462, 453.438700
203, 320.102300, -8.275990, 448.672600
204, 318.565800, -8.141815, 443.841300
205, 317.026500, -8.029805, 438.982700
206, 315.614500, -7.966527, 434.092800
207, 314.416200, -7.969385, 429.151700
208, 313.546100, -7.942327, 424.188800
209, 313.026600, -7.923389, 419.186300
210, 312.851500, -7.864187, 414.173600
211, 312.990400, -7.751320, 409.162100
212, 313.405800, -7.636293, 404.158800
213, 314.075800, -7.564827, 399.206500
214, 314.957200, -7.509055, 394.350700
215, 315.997400, -7.423038, 389.588900
216, 317.105800, -7.311971, 385.095400
217, 318.278300, -7.317945, 381.082600
218, 319.346400, -7.428682, 377.631200
219, 320.203000, -7.526334, 374.324000
220, 320.667900, -7.593814, 371.083600
221, 320.471500, -7.596182, 367.917100
222, 319.555500, -7.495768, 364.818300
223, 317.917200, -7.339697, 361.899400
224, 315.687800, -7.180588, 359.184900
225, 312.996100, -7.049674, 356.444400
226, 309.911600, -6.909712, 353.572300
227, 306.604900, -6.711582, 350.378000
228, 303.105500, -6.530925, 346.959300
229, 299.493500, -6.415862, 343.321800
230, 295.864400, -6.365722, 339.530500
231, 292.306100, -6.298162, 335.579300
232, 288.991700, -6.253835, 331.405200
233, 286.026700, -6.254569, 326.960300
234, 283.305700, -6.267547, 322.296000
235, 280.755300, -6.247107, 317.391500
236, 278.276500, -6.225841, 312.334300
237, 275.761400, -6.178870, 307.143700
238, 273.207400, -6.104603, 301.793600
239, 270.558300, -5.995819, 296.319200
240, 267.791100, -5.865611, 290.716100
241, 264.727500, -5.735854, 285.132100
242, 261.398100, -5.615581, 279.574900
243, 257.921600, -5.481663, 274.068200
244, 254.344100, -5.309147, 268.488000
245, 250.694400, -5.106039, 262.818800
246, 246.950000, -4.888359, 257.110200
247, 243.193400, -4.733649, 251.334600
248, 239.340000, -4.572481, 245.466400
249, 235.373100, -4.312583, 239.489700
250, 231.332800, -4.044611, 233.457600
251, 227.176800, -3.776462, 227.383400
252, 222.972600, -3.553368, 221.322400
253, 218.752300, -3.323911, 215.265000
254, 214.588800, -3.153158, 209.212100
255, 210.507700, -2.973449, 203.127300
256, 206.508300, -2.739469, 196.989800
257, 202.671000, -2.525670, 190.801900
258, 199.036000, -2.365728, 184.494700
259, 195.568100, -2.192337, 178.118500
260, 192.262400, -2.074170, 171.700700
261, 189.078800, -1.973567, 165.229300
262, 185.959300, -1.830138, 158.681600
263, 182.856100, -1.658461, 152.111300
264, 179.791300, -1.513016, 145.532000
265, 176.795000, -1.403805, 138.933400
266, 173.757000, -1.333086, 132.355200
267, 170.559900, -1.269147, 125.923200
268, 167.059300, -1.099363, 119.698200
269, 163.183900, -0.853053, 113.698700
270, 158.985600, -0.576553, 107.936400
271, 154.586000, -0.367982, 102.373400
272, 149.996800, -0.160857, 96.894670
273, 145.243700, 0.033542, 91.533570
274, 140.313900, 0.217469, 86.318510
275, 135.310300, 0.456620, 81.084920
276, 130.278500, 0.703450, 75.798510
277, 125.224000, 0.929862, 70.510050
278, 120.130300, 1.165661, 65.208370
279, 114.964400, 1.396610, 59.930660
280, 109.667300, 1.669154, 54.647940
281, 104.354600, 1.929989, 49.337920
282, 99.067940, 2.177631, 44.078130
283, 93.739320, 2.457325, 38.803750
284, 88.468560, 2.728871, 33.517640
285, 83.213540, 3.066811, 28.242020
286, 77.992680, 3.361621, 22.957970
287, 72.815770, 3.635914, 17.647790
288, 67.588360, 3.933439, 12.332760
289, 62.314330, 4.230049, 7.007367
290, 57.127490, 4.503137, 1.655679
291, 51.987360, 4.730281, -3.692204
292, 46.935070, 4.844236, -9.021045
293, 41.910660, 4.990965, -14.274210
294, 37.185420, 5.023351, -19.318100
295, 32.866820, 5.035514, -24.157290
296, 28.994380, 5.012866, -28.708570
297, 25.635890, 4.911415, -32.730080
298, 22.621160, 4.849439, -35.934900
299, 19.734310, 4.809316, -38.186450
300, 16.957070, 4.710410, -39.442020
301, 14.191360, 4.600733, -39.829780
302, 11.649030, 4.569883, -39.424110
303, 9.346772, 4.558865, -38.357210
304, 7.308945, 4.562789, -36.616890
305, 5.653599, 4.581954, -34.272080
306, 4.467981, 4.521503, -31.371810
307, 3.675026, 4.304388, -28.058910
308, 3.070532, 4.067978, -24.428670
309, 2.477719, 3.836418, -20.558910
310, 1.883217, 3.631509, -16.438970
311, 1.332990, 3.402079, -12.205180
312, 0.808984, 3.231920, -8.142150
313, 0.172462, 3.166402, -4.328516
314, -0.515324, 3.107244, -0.728113
315, -1.304476, 3.098012, 2.711778
316, -2.326851, 3.074640, 6.156888
